income_per_cap,municipality,pop_0_14,pop_75_plus,population,municip_tax_rate,ruling_coalition,parties_in_majority
198215,Upplands Väsby,7761,2676,41816,19.52,V,"S, V, MP, Väsbys Bästa"
208864,Vallentuna,7067,1891,31969,19,A,"M, C, FP, KD"
214254,Österåker,8450,2656,41180,17.35,A,"M, C, FP, KD, Österåkerpartiet"
212013,Värmdö,8763,2154,40541,19.18,A,"M, C, FP, KD"
201637,Järfälla,13786,5255,70701,19.15,Bl,"S, C, MP"
229258,Ekerö,6048,1642,26698,19.25,A,"M, C, FP, KD"
191137,Huddinge,22150,5471,104185,19.870001,A,"M, C, FP, KD, Huddigepartiet, Drevvikenpartiet"
159310,Botkyrka,18078,4558,88901,20.15,V,"S, V, MP"
203262,Salem,3597,1099,16140,19.67,A,"M, C, FP, KD"
181406,Haninge,16024,4510,82407,19.68,Bl,"S, C, MP"
208950,Tyresö,9401,3101,45390,19.5,A,"M, C, FP, KD"
189446,Upplands-Bro,5135,1370,25287,19.6,Bl,"S, C, KD, MP"
207820,Nykvarn,2148,514,9815,19.969999,A,"M, C, Nykvarnspartiet"
263097,Täby,13918,5605,67334,17.549999,A,"M, C, FP, KD"
326854,Danderyd,6954,3098,32295,17.35,A,"M, FP, KD"
236795,Sollentuna,14767,4512,69325,18.120001,A,"M, FP, KD"
228165,Stockholm,155358,56666,911989,17.9,V,"S, V, MP, FI"
167533,Södertälje,17170,6339,92235,20.15,V,"S, V, MP"
241866,Nacka,20746,5991,96217,18.43,A,"M, C, FP, KD"
203790,Sundbyberg,7677,2346,44090,18.9,Bl,"S, V, C, KD"
227111,Solna,11039,5194,74041,17.120001,A,"M, C, FP, KD"
280210,Lidingö,9262,4302,45465,18.49,A,"M, KD, Lidingöpartiet"
237919,Vaxholm,2455,710,11329,19.780001,A,"M, C, FP"
178842,Norrtälje,8532,6165,57568,19.719999,Bl,"S, C, MP"
185309,Sigtuna,8613,2739,44085,20,Bl,"S, FP, MP"
183697,Nynäshamn,4566,2264,27041,19.85,Bl,"S, FP, MP"
201678,Håbo,4011,1079,20034,21.34,A,"M, C, FP, KD, MP"
172365,Älvkarleby,1503,921,9169,22.690001,V,"S, V, MP"
210564,Knivsta,3962,780,16105,20.91,A,"M, C, FP, KD"
160473,Heby,2136,1450,13490,22.5,A,"M, C, FP, KD, MP, Lokala partiet"
162303,Tierp,3200,2115,20245,20.99,V,"S, MP"
189661,Uppsala,34893,13796,207362,21.139999,V,"S, V, MP"
182913,Enköping,7165,3661,41163,21.34,V,"S, Nystart Enköping"
185717,Östhammar,3272,2274,21374,21.690001,Bl,"S, C"
158786,Vingåker,1473,923,8919,22.73,V,"S, V, MP"
177489,Gnesta,1907,887,10513,22.18,Bl,"S, M"
183246,Nyköping,9086,5558,53508,21.48,V,"S, V, MP"
184728,Oxelösund,1686,1386,11551,22.280001,V,"S, V"
159150,Flen,2624,1778,16242,22.33,Bl,"S, C, KD, MP"
164625,Katrineholm,5719,3393,33268,22.18,Bl,"S, M"
163988,Eskilstuna,18019,8546,100923,22.08,Bl,"S, M, C"
190690,Strängnäs,6226,2905,33878,21.73,Bl,"S, M"
204980,Trosa,2108,926,11864,21.66,A,"M, C, FP, KD"
155751,Ödeshög,783,586,5240,21.6,A,"M, C, KD"
163264,Ydre,566,437,3660,21.950001,Bl,"S, M, C, KD, MP"
166411,Kinda,1633,1083,9795,20.950001,Bl,"S, M, KD"
166340,Boxholm,847,525,5322,21.82,V,S
165038,Åtvidaberg,1807,1239,11472,21.950001,Bl,"S, M"
179885,Finspång,3432,2264,21150,22.15,V,"S, V, MP"
159843,Valdemarsvik,1002,889,7657,22.48,V,"S, V, MP, Nybyggarpartiet"
182652,Linköping,25948,12235,151881,20.200001,Bl,"S, FP, MP"
170835,Norrköping,23812,11108,135283,21.75,Bl,"S, C, FP, KD"
174796,Söderköping,2492,1294,14268,21.18,Bl,"S, M, MP"
165532,Motala,7064,4186,42556,21.700001,V,"S, V, MP"
176512,Vadstena,982,1043,7393,22.799999,V,"S, Konsensus"
170191,Mjölby,4513,2498,26428,21.9,Bl,"S, C, KD, MP"
165212,Aneby,1006,599,6426,22.09,A,"M, C, FP, KD"
178961,Gnosjö,1708,773,9509,22.24,A,"M, C, FP, KD"
167439,Mullsjö,1313,600,7109,21.84,V,"S, V, MP"
177760,Habo,2583,730,11110,22.17,Bl,"S, C, KD, MP"
172672,Gislaved,5062,2658,28737,22.129999,Bl,"S, M, MP"
170676,Vaggeryd,2529,1153,13229,21.49,A,"M, C, FP, KD, MP"
179832,Jönköping,23207,11489,132140,21.34,A,"M, C, FP, KD"
165756,Nässjö,5239,2994,29907,22.190001,Bl,"S, V, M, C, FP"
182204,Värnamo,5809,3271,33334,21.52,A,"M, FP, KD, MP"
158753,Sävsjö,1967,1216,11100,21.92,Bl,"S, C, KD"
169047,Vetlanda,4490,2843,26647,21.51,V,"S, Vetlanda framåtanda"
175763,Eksjö,2616,1910,16598,22.26,A,"M, C"
162371,Tranås,3108,2148,18416,22.01,A,"M, C, FP, KD"
160438,Uppvidinge,1477,1082,9222,21.610001,A,"C, KD"
158093,Lessebo,1457,840,8256,21.809999,V,S
159740,Tingsryd,1765,1691,12198,21.07,Bl,"S, M"
165683,Alvesta,3637,1959,19503,21.42,Bl,"S, C, MP"
188921,Älmhult,2850,1637,15908,20.959999,V,"S, V, MP"
156952,Markaryd,1467,1139,9549,21.309999,A,"M, C, FP, KD, MP, Markbygdspartiet"
178796,Växjö,15624,7134,86970,20.190001,A,"M, C, FP, KD, MP"
172647,Ljungby,4351,2903,27522,21.07,A,"M, C, FP"
146348,Högsby,840,699,5782,21.709999,A,"M, C, KD"
157716,Torsås,1025,843,6925,21.43,Bl,"S, V, M, KD, FP, MP"
171373,Mörbylånga,2537,1424,14498,21.41,A,"M, C, FP, KD, MP"
157594,Hultsfred,1962,1696,13738,21.91,A,"M, C, FP, KD, MP"
175115,Mönsterås,2053,1448,13057,21.41,A,"M, C, FP, KD"
169896,Emmaboda,1275,1126,9009,21.709999,V,"S, V, MP"
175393,Kalmar,10547,5801,64676,21.809999,Bl,"S, V, C"
159629,Nybro,3003,2283,19714,22.33,A,"M, C, FP, KD, SPI"
187128,Oskarshamn,4248,2761,26301,22.26,Bl,"S, V, C, MP"
167392,Västervik,5258,4234,35920,21.16,Bl,"S, C"
166045,Vimmerby,2383,1734,15297,22.360001,Bl,"S, M"
154616,Borgholm,1338,1496,10681,21.58,V,"S, Framtid Öland"
160772,Gotland,8589,5816,57255,33.599998,V,"S, V, MP"
169701,Olofström,1827,1658,13031,22.16,V,S
174599,Karlskrona,11186,6051,64348,22.1,Bl,"S, C, FP"
165933,Ronneby,4589,3142,28221,22.360001,A,"M, C,FP,KD, Ronnebypartiet"
173840,Karlshamn,4930,3555,31598,22.209999,Bl,"S, C, FP"
168392,Sölvesborg,2668,1856,16959,22.27,V,"S, V, MP"
161230,Svalöv,2452,1038,13460,20.74,Bl,"S, M, MP"
195638,Staffanstorp,4889,1776,22994,19.139999,A,"M, C, FP, KD"
158428,Burlöv,3350,1300,17211,20.09,Bl,"S, V, C, MP"
223906,Vellinge,6578,2912,34110,18.5,A,M
159036,Östra Göinge,2326,1386,13864,20.99,A,"M, C, FP, KD, MP"
149908,Örkelljunga,1563,1023,9733,19.059999,A,"M, C, FP, KD"
153476,Bjuv,2784,1134,14894,20.99,Bl,"S, V, C, FP"
198478,Kävlinge,6423,2065,29808,18.51,A,"M, C, FP, KD, MP"
237221,Lomma,5132,2026,22946,19.639999,A,"M, C, FP, KD"
185292,Svedala,4307,1360,20248,20.24,A,"M, C, FP, Bara-partiet"
165926,Skurup,2752,1247,15167,20.42,V,"S, V, MP, Kommunens väl"
162260,Sjöbo,3029,1723,18415,20.92,A,"M, C, FP, KD, Sjöbopartiet"
162425,Hörby,2451,1477,14927,21.08,Bl,"S, C, FP, KD, MP"
171850,Höör,2884,1328,15770,21.879999,A,"M, C, FP, KD"
154461,Tomelilla,2159,1409,13007,20.610001,A,"M, C, FP, KD, MP, SPI"
165853,Bromölla,2112,1244,12400,21.76,V,S
160895,Osby,2088,1472,12828,22.26,V,"S, V"
150938,Perstorp,1245,718,7174,20.809999,Bl,"S, M, C, KD"
154547,Klippan,2721,1622,16733,20.75,Bl,"S, V, C, MP"
